Date	Time	Open	High	Low	Close	Volume
11/01/2022	22:30:00	3225.18	3237.61	3225.18	3233.27	702.2053
11/01/2022	23:00:00	3233.27	3248.0	3230.18	3246.66	1091.0575
11/01/2022	23:30:00	3246.66	3249.2	3230.76	3240.72	1432.103
12/01/2022	00:00:00	3240.58	3260.6	3238.44	3245.4	2848.787
12/01/2022	00:30:00	3245.4	3246.34	3225.3	3234.02	1881.374
12/01/2022	01:00:00	3234.26	3240.8	3229.22	3238.32	1131.1596
12/01/2022	01:30:00	3238.18	3241.16	3226.57	3232.14	1571.1853
12/01/2022	02:00:00	3231.72	3238.66	3228.0	3231.62	833.3968
12/01/2022	02:30:00	3231.62	3233.43	3218.04	3229.02	1791.2345
12/01/2022	03:00:00	3229.02	3236.59	3225.61	3235.58	721.09
12/01/2022	03:30:00	3235.47	3240.0	3232.76	3235.34	1490.8567
12/01/2022	04:00:00	3235.34	3244.0	3225.81	3228.05	1372.0175
12/01/2022	04:30:00	3227.71	3229.79	3220.4	3228.57	1190.8153
12/01/2022	05:00:00	3228.57	3233.67	3222.27	3227.01	1382.4785
12/01/2022	05:30:00	3227.0	3233.69	3225.0	3230.77	1037.3612
12/01/2022	06:00:00	3230.77	3234.79	3226.76	3234.46	1668.9822
12/01/2022	06:30:00	3234.44	3262.32	3231.16	3236.07	4298.8996
12/01/2022	07:00:00	3235.81	3239.66	3206.76	3211.94	4247.1806
12/01/2022	07:30:00	3211.94	3219.32	3210.18	3217.75	1475.6541
12/01/2022	08:00:00	3217.75	3235.98	3215.91	3226.55	2631.4224
12/01/2022	08:30:00	3226.55	3241.4	3222.88	3232.72	1350.5961
12/01/2022	09:00:00	3232.81	3275.67	3230.02	3267.07	3685.9351
12/01/2022	09:30:00	3267.07	3268.85	3244.0	3262.58	2556.2139
12/01/2022	10:00:00	3262.41	3270.79	3254.7	3261.09	2190.6617
12/01/2022	10:30:00	3261.08	3263.06	3245.81	3249.51	1753.1828
12/01/2022	11:00:00	3249.46	3258.81	3245.98	3251.69	1838.0552
12/01/2022	11:30:00	3251.68	3296.1	3241.0	3273.22	8841.749
12/01/2022	12:00:00	3273.23	3317.2	3269.3	3296.34	5054.4189
12/01/2022	12:30:00	3296.35	3328.35	3295.0	3317.69	5959.0444
12/01/2022	13:00:00	3317.69	3320.69	3302.08	3317.34	3601.1913
12/01/2022	13:30:00	3317.61	3379.19	3313.88	3372.02	15364.756
12/01/2022	14:00:00	3372.02	3374.99	3351.8	3366.81	4514.9064
12/01/2022	14:30:00	3366.77	3384.75	3359.36	3376.91	5844.7321
12/01/2022	15:00:00	3376.92	3388.63	3369.11	3377.31	3674.6411
12/01/2022	15:30:00	3377.31	3379.94	3352.9	3362.68	3592.7703
12/01/2022	16:00:00	3363.08	3374.98	3336.0	3359.52	4526.1955
12/01/2022	16:30:00	3359.42	3373.45	3358.3	3371.69	1936.9954
12/01/2022	17:00:00	3371.35	3380.0	3361.06	3377.01	1692.8308
